sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
Ecommerce & Retail,36.3,post engagement,5,2021,2,5,2021,2,True,8.1797604936999,10.88719391270288,11.729728960538239
Ecommerce & Retail,46.83,pages likes,5,2022,2,5,2022,2,True,6.822197390620491,10.05371626578282,10.884910379348065
Ecommerce & Retail,104.64,CONVERSIONS,10,2021,4,9,2021,3,False,4.30406509320417,11.266717974057467,12.382686276398534
Ecommerce & Retail,84.2,CONVERSIONS,5,2022,2,4,2022,2,False,3.6375861597263857,11.321292693045136,12.40501776212801
Automotive,84.06,post engagement,7,2021,3,7,2021,3,False,11.94314822420412,11.280551948277328,12.338236228128924
B2B,55.05,lead generation,9,2021,3,9,2021,3,False,1.791759469228055,8.720134035412928,8.975250749643573
Automotive,107.36,pages likes,3,2022,1,3,2022,1,False,7.028201432058005,10.86086264450968,11.927422991029209
Ecommerce & Retail,115.0,CONVERSIONS,11,2021,4,11,2021,4,False,10.758349589413635,12.216042778167484,13.660887433219155
Ecommerce & Retail,13.27,post engagement,5,2021,2,4,2021,2,False,7.455298485683291,9.781037392779563,10.217714180210022
Ecommerce & Retail,23.37,post engagement,5,2020,2,5,2020,2,False,6.3784261836515865,10.525809827315793,11.14618575505945
Ecommerce & Retail,57.28,post engagement,7,2020,3,7,2020,3,False,8.38091517312361,11.288280787529752,11.833449778225992
Ecommerce & Retail,24.44,post engagement,11,2020,4,11,2020,4,False,6.452048954437226,10.399189386156271,10.953487161283544
Ecommerce & Retail,19.93,Traffic,3,2021,1,2,2021,1,False,7.1569563646156364,9.978223898650144,11.493548946876626
Ecommerce & Retail,7.92,post engagement,11,2021,4,10,2021,4,False,9.73032393352694,10.43125878502826,10.577248019295883
Ecommerce & Retail,3.71,post engagement,3,2022,1,3,2022,1,False,6.634633357861686,9.11173476822206,9.399554785027307
Automotive,257.62,Traffic,7,2021,3,7,2021,3,False,6.595780513961311,11.626655855297251,11.738146856079403
Travel,30.0,post engagement,1,2019,1,12,2018,4,False,8.562357743370612,11.518996995866857,11.607471716692148
Ecommerce & Retail,32.72,post engagement,5,2021,2,5,2021,2,False,7.989899374942939,10.94142938500409,11.948124117333215
Travel,153.5,Messages,10,2021,4,10,2021,4,False,4.820281565605037,10.698649658502804,11.913203811724399
Ecommerce & Retail,4.97,post engagement,11,2020,4,11,2020,4,False,5.10594547390058,7.0431599159883405,7.242082359256962
Travel,26.43,pages likes,10,2019,4,9,2019,3,False,7.544861068658458,10.707303634311371,11.34173374116303
Ecommerce & Retail,70.02,CONVERSIONS,12,2019,4,12,2019,4,False,2.8903717578961645,10.379752786950895,11.812763355192022
Ecommerce & Retail,76.67,Traffic,5,2022,2,4,2022,2,False,8.636219897837877,11.08647162642358,11.801894209304608
Ecommerce & Retail,174.3,Messages,1,2022,1,12,2021,4,False,5.303304908059076,11.158091682196439,11.968506841709488
