sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
Ecommerce & Retail,28.0,Traffic,6,2019,2,6,2019,2,True,3.1780538303479458,10.268686067415738,10.491385322376976
Ecommerce & Retail,3.56,Traffic,4,2021,2,4,2021,2,False,4.727387818712341,9.204422898212146,9.49514330367712
Ecommerce & Retail,8.52,post engagement,6,2021,2,5,2021,2,True,7.627057417018934,10.056036950996413,10.298161309566071
B2B,89.58,lead generation,4,2019,2,4,2019,2,False,2.5649493574615367,10.694441793098985,11.483321561711648
Ecommerce & Retail,35.0,post engagement,12,2020,4,12,2020,4,False,7.671826797878781,11.147051193818772,11.7814552985774
Automotive,5.9,Messages,8,2021,3,8,2021,3,False,0.6931471805599453,8.472405008626103,8.624791202014256
Automotive,22.25,lead generation,4,2021,2,4,2021,2,False,4.867534450455582,9.974737874064294,10.231531513675707
Travel,0.45,Messages,7,2020,3,7,2020,3,False,1.0986122886681098,6.654152520183219,6.680854678790215
Ecommerce & Retail,18.86,Traffic,3,2021,1,2,2021,1,False,6.51025834052315,11.26777911776301,11.772555224854848
Ecommerce & Retail,80.96,CONVERSIONS,11,2021,4,11,2021,4,False,10.288511829739507,11.691908120498669,12.85805402247429
Ecommerce & Retail,13.99,post engagement,11,2021,4,11,2021,4,False,9.700207901150696,9.932560800021836,10.503888762894483
Ecommerce & Retail,13.26,CONVERSIONS,3,2022,1,3,2022,1,False,2.3978952727983707,9.540363284917488,10.164158075741058
Ecommerce & Retail,0.39,post engagement,5,2020,2,5,2020,2,False,3.784189633918261,7.138866999945524,7.160069207596127
Ecommerce & Retail,5.0,post engagement,6,2021,2,6,2021,2,False,6.559615237493242,8.723882104658486,8.966866554188723
Ecommerce & Retail,10.62,post engagement,3,2022,1,3,2022,1,False,6.895682697747868,8.910450756416656,9.327678864393416
Ecommerce & Retail,83.67,lead generation,4,2022,2,3,2022,1,False,3.9512437185814275,10.008973060382106,10.912849596182564
Travel,33.55,post engagement,1,2022,1,1,2022,1,True,10.866547359936277,11.336212152533827,11.498187391144963
Travel,13.53,Messages,3,2022,1,2,2022,1,False,2.833213344056216,9.54574060563606,9.849875783087478
Ecommerce & Retail,6.71,Messages,6,2020,2,6,2020,2,False,1.3862943611198906,8.80941494391005,9.19023970026918
Ecommerce & Retail,99.46,Traffic,5,2020,2,4,2020,2,False,8.130353547431238,11.733449588577212,13.13487083206744
Automotive,4.46,Messages,8,2021,3,8,2021,3,False,0.6931471805599453,8.209852481301272,8.330622620332868
Travel,287.86,post engagement,12,2021,4,12,2021,4,False,9.321165927065067,12.518329030892268,13.484146850559668
Ecommerce & Retail,203.06,pages likes,9,2021,3,9,2021,3,False,8.189522110748094,11.570684809326373,12.349406462030563
Ecommerce & Retail,22.0,Messages,10,2021,4,9,2021,3,False,3.7376696182833684,9.08239335764556,10.054017399337825
Ecommerce & Retail,63.38,post engagement,7,2021,3,7,2021,3,True,11.11643991964264,10.91002110133611,11.570552657805022
Ecommerce & Retail,12.0,Traffic,11,2021,4,11,2021,4,True,4.927253685157205,8.144388865547622,8.424419791263883
Automotive,174.63,lead generation,10,2021,4,9,2021,3,False,4.248495242049359,10.742076168746246,11.719020512904823
Ecommerce & Retail,13.7,post engagement,11,2020,4,11,2020,4,False,6.206575926724928,10.175116459665661,10.541624011313584
Ecommerce & Retail,10.0,post engagement,8,2021,3,8,2021,3,False,6.951772164398911,9.242032818708672,9.559869847754044
Travel,62.32,post engagement,2,2022,1,2,2022,1,False,8.263848131368906,11.55584126594706,12.06460124285999
Ecommerce & Retail,30.0,Traffic,11,2020,4,11,2020,4,False,7.666690200080086,11.678838129230135,12.121940755200418
Travel,74.28,post engagement,1,2019,1,1,2019,1,False,8.294299608857235,11.647465099148372,12.438726827083007
Ecommerce & Retail,5.0,post engagement,6,2021,2,6,2021,2,False,5.7899601708972535,8.627123250788433,8.87458787627932
Ecommerce & Retail,39.97,Traffic,3,2021,1,3,2021,1,False,7.247080584585756,11.296558897935043,12.47602344395164
Travel,41.16,Messages,12,2021,4,11,2021,4,False,4.290459441148391,10.50731159513587,11.003731842099363
Ecommerce & Retail,25.0,Messages,7,2021,3,6,2021,2,False,3.970291913552122,9.96580485860099,10.606981025150217
Ecommerce & Retail,20.0,post engagement,5,2022,2,4,2022,2,False,6.1463292576688975,9.56416124693201,10.0165929986414
Travel,15.5,post engagement,6,2021,2,6,2021,2,False,6.249975242259483,9.835262243540562,9.954275719368233
Ecommerce & Retail,104.82,CONVERSIONS,1,2022,1,1,2022,1,True,0.6931471805599453,10.92166677957473,11.565451499221675
Ecommerce & Retail,19.73,Messages,5,2021,2,4,2021,2,False,3.5263605246161616,8.88599431515281,9.563880407219427
Ecommerce & Retail,180.0,post engagement,11,2020,4,11,2020,4,False,8.957510510291613,11.620236077951668,12.835174516637
Ecommerce & Retail,82.9,CONVERSIONS,5,2022,2,4,2022,2,False,3.4965075614664802,11.204822974428827,12.31866445226598
Ecommerce & Retail,14.0,post engagement,10,2021,4,10,2021,4,True,6.799055862058796,9.689613407229068,10.278046617948409
Ecommerce & Retail,11.0,post engagement,10,2021,4,10,2021,4,False,7.4360278163518485,9.790542793519993,10.126751096650914
Ecommerce & Retail,26.31,Traffic,10,2019,4,10,2019,4,False,6.150602768446279,10.301961613455438,11.371523177965136
Ecommerce & Retail,14.7,post engagement,9,2021,3,8,2021,3,False,7.044905117129371,9.715530144123544,10.156927498081687
B2B,11.99,lead generation,2,2022,1,2,2022,1,False,2.0794415416798357,8.724695046740491,8.791790024319363
Travel,14.17,post engagement,1,2019,1,1,2019,1,False,7.400620577371135,9.912298620814678,10.187462763056583
Ecommerce & Retail,26.54,Messages,3,2022,1,2,2022,1,False,4.007333185232471,9.663261421240643,10.310085352240225
Ecommerce & Retail,90.28,CONVERSIONS,8,2021,3,8,2021,3,True,8.105005537547246,12.336394518151172,13.47301320673918
Travel,100.0,post engagement,7,2019,3,7,2019,3,False,9.06843112579349,12.203674772930173,12.957443921889283
Ecommerce & Retail,41.7,Traffic,4,2019,2,4,2019,2,True,7.01571242048723,11.119245636829277,11.856784636596847
Ecommerce & Retail,39.53,post engagement,6,2020,2,6,2020,2,False,6.419994928147142,10.521938126192444,11.299558962169936
Ecommerce & Retail,19.14,post engagement,11,2020,4,10,2020,4,False,6.974478911025045,9.856448354530341,10.084307983203816
Ecommerce & Retail,259.2,CONVERSIONS,12,2019,4,11,2019,4,False,3.970291913552122,11.244169819069379,13.447776111125567
Ecommerce & Retail,58.32,Traffic,12,2021,4,12,2021,4,False,7.237778191923443,11.09475498436451,11.834704569990055
Ecommerce & Retail,17.99,Traffic,5,2022,2,5,2022,2,False,5.327876168789581,9.748528212497986,10.301928045707328
Automotive,24.55,post engagement,4,2022,2,4,2022,2,False,10.822015779350474,11.492569684713155,11.677371536336677
B2B,157.48,lead generation,5,2022,2,5,2022,2,False,4.48863636973214,10.77664111193259,11.642039615931836
Automotive,66.82,CONVERSIONS,3,2022,1,2,2022,1,False,1.791759469228055,8.034306936339489,9.362975618399776
Ecommerce & Retail,3.97,Messages,1,2021,1,1,2021,1,True,1.791759469228055,8.77786371462117,9.095939111666207
Travel,49.18,Messages,12,2021,4,11,2021,4,False,4.406719247264253,10.350094603975467,10.84536805540928
Ecommerce & Retail,6.0,Traffic,8,2021,3,8,2021,3,False,4.624972813284271,8.885579291282982,9.311451873344595
B2B,32.05,lead generation,8,2021,3,8,2021,3,False,2.0794415416798357,8.562740006372207,8.863191340690854
Ecommerce & Retail,1.09,post engagement,5,2020,2,5,2020,2,False,2.0794415416798357,6.660575149839686,6.677083461247136
Ecommerce & Retail,10.32,post engagement,11,2020,4,11,2020,4,False,5.356586274672012,9.63174444388585,9.95246817475775
Travel,45.73,Messages,3,2019,1,2,2019,1,False,4.454347296253507,11.23448059787093,11.373835796568274
B2B,215.17,lead generation,12,2021,4,12,2021,4,True,5.081404364984463,10.936689829317784,11.494669840447967
Ecommerce & Retail,198.58,CONVERSIONS,4,2022,2,4,2022,2,False,3.7376696182833684,10.860459469017288,12.754939440909917
Ecommerce & Retail,4.67,post engagement,11,2020,4,11,2020,4,False,6.234410725718371,9.340578848899913,9.340578848899913
Ecommerce & Retail,13.97,post engagement,11,2021,4,11,2021,4,False,5.908082938168931,8.200288260287554,8.461891875631148
Travel,162.04,Messages,8,2021,3,8,2021,3,False,6.284134161070802,11.345015559651559,12.259376417552485
Ecommerce & Retail,6.0,Traffic,10,2021,4,10,2021,4,False,6.045005314036012,9.51355124604559,9.922260237859412
Ecommerce & Retail,5.39,post engagement,6,2020,2,5,2020,2,False,5.5093883366279774,8.912877287669296,9.127284796838858
Ecommerce & Retail,25.51,post engagement,3,2021,1,3,2021,1,True,7.198183577101943,9.87075772791321,10.107081244605622
